Dataset,Number of Max BOs,Inference Type,Retriever Type,Tuned,Metric,Without BO,With BO,Relative Improvement,Absolute Improvement,P-Value
Spider,10,Untuned,BA-VT,Direct Inference,Execution Accuracy,72.69,74.55,2.56,1.86,0.0486
Spider,10,Untuned,BA-VT,Direct Inference,Structural Score,75.26,76.62,1.81,1.36,0.1333
Spider,10,Untuned,BA-VT,Direct Inference,Semantic Score,78.75,81.07,2.94,2.32,0.0000
Spider,10,Untuned,BA-VT,Direct Inference,F1 Score,75.69,78.29,3.44,2.60,0.0000
Spider,15,Untuned,BA-VT,Direct Inference,Execution Accuracy,72.69,74.95,3.11,2.26,0.0194
Spider,15,Untuned,BA-VT,Direct Inference,Structural Score,75.26,77.62,3.13,2.36,0.0002
Spider,15,Untuned,BA-VT,Direct Inference,Semantic Score,78.75,82.08,4.22,3.32,0.0000
Spider,15,Untuned,BA-VT,Direct Inference,F1 Score,75.69,79.29,4.75,3.60,0.0000
Spider,25,Untuned,BA-VT,Direct Inference,Execution Accuracy,72.71,75.03,3.20,2.32,0.0157
Spider,25,Untuned,BA-VT,Direct Inference,Structural Score,75.27,78.23,3.94,2.97,0.0000
Spider,25,Untuned,BA-VT,Direct Inference,Semantic Score,78.75,82.23,4.41,3.47,0.0000
Spider,25,Untuned,BA-VT,Direct Inference,F1 Score,75.69,79.72,5.31,4.02,0.0000
Spider,25,Untuned,Q-VT,Direct Inference,Execution Accuracy,72.71,77.16,6.12,4.45,0.0000
Spider,25,Untuned,Q-VT,Direct Inference,Structural Score,75.27,80.25,6.62,4.98,0.0000
Spider,25,Untuned,Q-VT,Direct Inference,Semantic Score,78.75,83.97,6.62,5.21,0.0000
Spider,25,Untuned,Q-VT,Direct Inference,F1 Score,75.69,81.65,7.87,5.96,0.0000
BIRD,10,Untuned,BA-VT,Direct Inference,Execution Accuracy,32.66,33.04,1.16,0.38,0.7016
BIRD,10,Untuned,BA-VT,Direct Inference,Structural Score,59.17,61.27,3.54,2.09,0.0002
BIRD,10,Untuned,BA-VT,Direct Inference,Semantic Score,65.44,70.87,8.30,5.43,0.0000
BIRD,10,Untuned,BA-VT,Direct Inference,F1 Score,60.41,64.88,7.41,4.48,0.0000
BIRD,15,Untuned,BA-VT,Direct Inference,Execution Accuracy,32.68,33.33,1.99,0.65,0.4814
BIRD,15,Untuned,BA-VT,Direct Inference,Structural Score,59.13,61.8,4.51,2.67,0.0000
BIRD,15,Untuned,BA-VT,Direct Inference,Semantic Score,65.4,71.15,8.80,5.75,0.0000
BIRD,15,Untuned,BA-VT,Direct Inference,F1 Score,60.37,65.26,8.10,4.89,0.0000
BIRD,25,Untuned,BA-VT,Direct Inference,Execution Accuracy,32.47,33.55,3.33,1.08,0.2612
BIRD,25,Untuned,BA-VT,Direct Inference,Structural Score,58.86,62.01,5.35,3.15,0.0000
BIRD,25,Untuned,BA-VT,Direct Inference,Semantic Score,65.1,71.95,10.53,6.85,0.0000
BIRD,25,Untuned,BA-VT,Direct Inference,F1 Score,60.09,65.76,9.45,5.68,0.0000
BIRD,25,Untuned,Q-VT,Direct Inference,Execution Accuracy,32.56,35.69,9.63,3.14,0.0008
BIRD,25,Untuned,Q-VT,Direct Inference,Structural Score,59.11,64.29,8.76,5.18,0.0000
BIRD,25,Untuned,Q-VT,Direct Inference,Semantic Score,65.37,73.67,12.68,8.29,0.0000
BIRD,25,Untuned,Q-VT,Direct Inference,F1 Score,60.35,67.92,12.55,7.57,0.0000
Spider,25,Tuned,BA-VT,Direct Inference,Execution Accuracy,74.46,77.87,4.58,3.41,0.0000
Spider,25,Tuned,BA-VT,Direct Inference,Structural Score,73.64,78.11,6.06,4.46,0.0000
Spider,25,Tuned,BA-VT,Direct Inference,Semantic Score,78.26,82.28,5.13,4.02,0.0000
Spider,25,Tuned,BA-VT,Direct Inference,F1 Score,75.43,79.7,5.67,4.28,0.0000
Spider,25,Tuned,BA-VT,Pipeline Inference,Execution Accuracy,75.28,76.87,2.11,1.59,0.0773
Spider,25,Tuned,BA-VT,Pipeline Inference,Structural Score,74.01,77.8,5.11,3.78,0.0000
Spider,25,Tuned,BA-VT,Pipeline Inference,Semantic Score,78.82,82.18,4.26,3.36,0.0000
Spider,25,Tuned,BA-VT,Pipeline Inference,F1 Score,75.81,79.46,4.80,3.64,0.0000
BIRD,25,Tuned,BA-VT,Direct Inference,Execution Accuracy,36.8,38.93,5.79,2.13,0.0095
BIRD,25,Tuned,BA-VT,Direct Inference,Structural Score,59.91,65.32,9.03,5.41,0.0000
BIRD,25,Tuned,BA-VT,Direct Inference,Semantic Score,68.71,73.75,7.34,5.04,0.0000
BIRD,25,Tuned,BA-VT,Direct Inference,F1 Score,63.24,68.45,8.24,5.21,0.0000
BIRD,25,Tuned,BA-VT,Pipeline Inference,Execution Accuracy,41.01,43.29,5.56,2.28,0.0112
BIRD,25,Tuned,BA-VT,Pipeline Inference,Structural Score,61.47,65.35,6.32,3.89,0.0000
BIRD,25,Tuned,BA-VT,Pipeline Inference,Semantic Score,70.62,74.24,5.13,3.62,0.0000
BIRD,25,Tuned,BA-VT,Pipeline Inference,F1 Score,64.95,68.74,5.83,3.79,0.0000
